[02/04/2025, 10:52:05] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:06] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:07] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:08] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:09] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:10] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:11] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 2 ms
[02/04/2025, 10:52:12] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:13] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:14] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 2 ms
[02/04/2025, 10:52:15] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:52:16] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:52:18] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:20] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:23] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:27] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:30] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:33] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:35] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:37] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:52:43] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:48] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:52:50] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:52:56] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:53:01] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:53:03] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:53:05] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:53:11] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 2 ms
[02/04/2025, 10:53:15] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:53:17] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:53:23] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:53:26] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:53:28] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:53:34] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:53:40] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:53:42] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:53:44] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:53:47] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:53:50] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:53:55] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:53:59] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:54:01] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:54:04] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:54:09] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:13] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:17] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:22] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:25] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:28] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:30] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:34] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:36] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:42] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:45] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:54:49] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:54:54] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:54:58] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:55:02] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:55:05] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:55:11] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:15] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:55:20] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:55:25] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:28] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:34] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:38] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:40] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:43] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:48] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:50] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:53] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:58] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:04] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:05] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:06] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:07] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:08] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:09] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:10] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 2 ms
[02/04/2025, 10:56:11] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:12] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
