[07/Apr/2025:04:06:57 +0000] | POST | /api/users/login | Status: 400 | Size: 36 bytes | ⏳ Time: 225.404 ms
[07/Apr/2025:04:07:36 +0000] | POST | /api/users/login | Status: 400 | Size: 36 bytes | ⏳ Time: 198.249 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/users/67d7acd53e8c91a1d4ead9a6 | Status: 404 | Size: 42 bytes | ⏳ Time: 1.541 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/stocks/brands | Status: 200 | Size: 10369 bytes | ⏳ Time: 202.440 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/3Com_logo.png | Status: 200 | Size: 2112 bytes | ⏳ Time: 6.355 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/3M_logo.png | Status: 200 | Size: 2785 bytes | ⏳ Time: 1.743 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/ACCTOM_logo.png | Status: 200 | Size: 2739 bytes | ⏳ Time: 3.088 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/ACT_Networks_logo.png | Status: 200 | Size: 1172 bytes | ⏳ Time: 1.437 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/ACTEL_logo.png | Status: 200 | Size: 2025 bytes | ⏳ Time: 1.509 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/ADAPTEC_logo.png | Status: 200 | Size: 790 bytes | ⏳ Time: 1.206 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/ADAX_logo.png | Status: 200 | Size: 5934 bytes | ⏳ Time: 1.484 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/ADC_logo.png | Status: 200 | Size: 798 bytes | ⏳ Time: 1.486 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/ADIC_logo.png | Status: 200 | Size: 1390 bytes | ⏳ Time: 1.958 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/ADLINK_logo.png | Status: 200 | Size: 703 bytes | ⏳ Time: 6.704 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/ADVANTECH_logo.png | Status: 200 | Size: 985 bytes | ⏳ Time: 5.998 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/AIRPAX_logo.png | Status: 200 | Size: 326 bytes | ⏳ Time: 10.761 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/AIRSPAN_logo.png | Status: 200 | Size: 7103 bytes | ⏳ Time: 9.731 ms
[07/Apr/2025:04:10:01 +0000] | GET | /api/logos/AIWA_logo.png | Status: 200 | Size: 1769 bytes | ⏳ Time: 9.895 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/AKG_logo.png | Status: 200 | Size: 4895 bytes | ⏳ Time: 8.965 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/ALTERA_logo.png | Status: 200 | Size: 2564 bytes | ⏳ Time: 10.925 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/AMD_logo.png | Status: 200 | Size: 183 bytes | ⏳ Time: 10.903 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/AMI_logo.png | Status: 200 | Size: 1334 bytes | ⏳ Time: 15.197 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/AMP_logo.png | Status: 200 | Size: 166 bytes | ⏳ Time: 6.445 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/AMPHENOL_logo.png | Status: 200 | Size: 1006 bytes | ⏳ Time: 5.275 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/AMTELCO_logo.png | Status: 200 | Size: 1002 bytes | ⏳ Time: 5.362 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/ANNSO_logo.png | Status: 200 | Size: 2504 bytes | ⏳ Time: 5.099 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/ANRITSU_logo.png | Status: 200 | Size: 807 bytes | ⏳ Time: 5.526 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/ANTEC_logo.png | Status: 200 | Size: 685 bytes | ⏳ Time: 7.169 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/APC_logo.png | Status: 200 | Size: 674 bytes | ⏳ Time: 5.171 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/APPLE_logo.png | Status: 200 | Size: 2468 bytes | ⏳ Time: 3.816 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/ARENA_logo.png | Status: 200 | Size: 1248 bytes | ⏳ Time: 5.220 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/ARRIS_logo.png | Status: 200 | Size: 798 bytes | ⏳ Time: 7.200 ms
[07/Apr/2025:04:10:02 +0000] | GET | /api/logos/ASCOM_logo.png | Status: 200 | Size: 415 bytes | ⏳ Time: 6.000 ms
