[08/04/2025, 4:50:11] | "GET" | /api/favorites | Status: 401 | Size: 127 bytes | ⏳ Time: 3 ms
[08/04/2025, 4:50:11] | "GET" | /api/cart | Status: 401 | Size: 127 bytes | ⏳ Time: 2 ms
[08/04/2025, 5:09:55] | "GET" | /api/cart/all | Status: 401 | Size: 149 bytes | ⏳ Time: 2 ms
[08/04/2025, 5:14:50] | "GET" | /api/cart | Status: 401 | Size: 149 bytes | ⏳ Time: 2 ms
[08/04/2025, 5:14:50] | "GET" | /api/favorites | Status: 401 | Size: 149 bytes | ⏳ Time: 2 ms
[08/04/2025, 5:16:48] | "GET" | /api/cart/all | Status: 401 | Size: 149 bytes | ⏳ Time: 24 ms
[08/04/2025, 5:23:14] | "GET" | /api/cart/all | Status: 403 | Size: 41 bytes | ⏳ Time: 2 ms
[08/04/2025, 5:23:14] | "GET" | /api/cart/all | Status: 403 | Size: 41 bytes | ⏳ Time: 1 ms
[08/04/2025, 5:23:24] | "GET" | /api/cart/all | Status: 403 | Size: 41 bytes | ⏳ Time: 2 ms
[08/04/2025, 5:25:03] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a/mark-handled | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[08/04/2025, 5:26:44] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a/mark-handled | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[08/04/2025, 5:46:36] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a | Status: 400 | Size: 92 bytes | ⏳ Time: 320 ms
[08/04/2025, 5:46:41] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a | Status: 400 | Size: 92 bytes | ⏳ Time: 304 ms
[08/04/2025, 5:47:21] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a | Status: 400 | Size: 92 bytes | ⏳ Time: 357 ms
[08/04/2025, 5:48:09] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a | Status: 400 | Size: 92 bytes | ⏳ Time: 346 ms
[08/04/2025, 5:48:49] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a | Status: 400 | Size: 92 bytes | ⏳ Time: 344 ms
[08/04/2025, 5:49:05] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a | Status: 400 | Size: 92 bytes | ⏳ Time: 311 ms
[08/04/2025, 5:50:24] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a | Status: 400 | Size: 92 bytes | ⏳ Time: 314 ms
[08/04/2025, 5:57:32] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a/mark-handled | Status: 404 | Size: 19 bytes | ⏳ Time: 159 ms
[08/04/2025, 5:57:51] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a/mark-handled | Status: 404 | Size: 19 bytes | ⏳ Time: 154 ms
[08/04/2025, 6:00:45] | "PATCH" | /api/cart/67f3c9569d5b7fbcca64dd0a/mark-handled | Status: 404 | Size: 45 bytes | ⏳ Time: 155 ms
